,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0168632079896285,0.0161506315750596,1.0441206531928648,0.2964295715469485,0.016270333546116,1.0364389852139253,0.2999973906250597,-0.0147920298974883,0.0485184458767455,-0.21329397681548654,-0.9399959376978516,1.185344588917057
Business_closures_2,0.1235858215324843,0.1143152164059285,1.0810968602258193,0.2796540299322916,0.113141822435296,1.0923089170068925,0.2746973422655241,-0.1004720026231354,0.3476436456881042,-1.5631729958430811,-6.488789009614109,8.881321261079583
Business_closures_2_No,-0.1475944442994796,0.1172864998209909,-1.258409488941577,0.2082437019688356,0.1164565477180063,-1.2673778090766712,0.2050202306142785,-0.3774759839486219,0.0822870953496626,0.611299318246693,-0.4994241147274474,1.563228417961128
Business_closures_3,0.0783793438007043,0.1107471858969059,0.7077321483695965,0.4791116092535956,0.1201558819195986,0.6523138322362884,0.5141987386043971,-0.1386851405572313,0.29544382815864,-0.9913796917954499,-6.016457129689835,7.4945334746650385
Business_closures_3_No,-0.3111058416721555,0.1137401701801539,-2.735232778176722,0.0062336176540882,0.1242409422665004,-2.5040524966787876,0.0122779815105349,-0.5340365752252572,-0.0881751081190538,1.288522679965284,0.016265961023356645,2.2184649309408933
Healthcare_restrictions_2,0.1454267426321961,0.1277039612784244,1.1387802005227683,0.2547948419655634,0.1216705416756574,1.1952502276176815,0.2319892796854032,-0.1048730214735158,0.3957265067379081,-1.8394274855899888,-7.703777264414713,10.078116023158083
Healthcare_restrictions_2_No,-0.3756863966399658,0.1309568838966315,-2.86877929178971,0.0041205922207741,0.1251974492014617,-3.000751205684945,0.0026931451016174,-0.6323618890773637,-0.119010904202568,1.555999206003837,0.08256080539162847,2.632528556092506
Healthcare_restrictions_3,-0.0903420846762163,0.1280326607257361,-0.7056174898195838,0.4804260447083812,0.1268146592128476,-0.7123946493014255,0.4762204279681463,-0.3412860996986592,0.1606019303462265,1.1426902002420305,-8.913511265493415,7.0984714408300515
Healthcare_restrictions_3_No,-0.3375766452385712,0.131433577536484,-2.568420121904275,0.0102163254521219,0.1306595879469213,-2.583634699473468,0.0097765282603654,-0.5951864572100799,-0.0799668332670625,1.3981581357603443,-0.026662942879144724,2.4704467839517115
Mask_mandates_2,0.002496806454835,0.1415995938620907,0.0176328645212556,0.9859317386519444,0.1541918695195647,0.0161928541538194,0.9870805362767244,-0.2750383975148628,0.2800320104245329,-0.031580810627365445,-7.974557850247011,7.621121315373448
Mask_mandates_2_No,0.082648434561765,0.1452479848056392,0.569016049843028,0.5693452480080856,0.1577282189642615,0.5239926951846943,0.6002836206001865,-0.2020376156572879,0.3673344847808179,-0.3423091698441491,-1.55999251595424,0.9599319523886445
Mask_mandates_3,0.0424498943513708,0.1123897107907025,0.3777026744950255,0.7056514807733454,0.1108862272962966,0.382823867187233,0.7018503636831315,-0.1778339387984062,0.2627337275011479,-0.5369267097440696,-6.028238318693856,6.682678241151774
Mask_mandates_3_No,0.0683321186158297,0.1154844523788688,0.5916997241468758,0.5540516813117706,0.114387858829708,0.5973721277321694,0.5502589582858053,-0.1580174080467533,0.2946816452784127,-0.2830145655039141,-1.2572443966244335,0.759063249266791
Mask_mandates_4,0.1596847631862313,0.1422977724619575,1.1221873710561567,0.2617827811091762,0.1460702232005091,1.0932054438434973,0.2743036073996086,-0.1192188708392054,0.438588397211668,-2.0197697969317887,-8.095877057072421,11.4883017435493
Mask_mandates_4_No,-0.0455822516045987,0.1460254600835488,-0.3121527682810844,0.7549244252848761,0.1502717904306973,-0.3033320590242152,0.7616368167949132,-0.3317921533683545,0.240627650159157,0.18879029940653846,-1.0997542822437332,1.4260858740372242
Number_of_infections,-0.0790608728919537,0.0403429659075093,-1.9597189029980937,0.0500286544969259,0.0393856805116024,-2.007350688498666,0.0447123354725025,-0.158133086070672,1.134028676461063e-05,1.0,-4.784847831746298,2.6410384116466297
Number_of_infections_No,-0.2414438228441097,0.041511260082859,-5.8163453087709955,6.014815090438219e-09,0.0414835182793825,-5.8202349477215956,5.876496400603059e-09,-0.3228058926065134,-0.160081753081706,1.0,0.34658465667904426,1.394097848368973
SIGMA_PANEL_ASC2,0.3568224152182047,0.0283860981837912,12.570322730087431,0.0,0.0335829547759417,10.62510483663059,0.0,0.3011856627779738,0.4124591676584355,-4.513261771165188,-7.436595155086991,19.20568524542753
School_closures_2,-0.2780367040609327,0.1244891035037638,-2.2334220123332034,0.0255211279210121,0.1202518094519623,-2.312120751679845,0.0207710298781031,-0.5220353469283099,-0.0340380611935555,3.5167421493170674,-15.630215014981136,8.863719466485188
School_closures_2_No,0.4247137737808333,0.1279054645544958,3.3205287613015027,0.0008984710099195,0.1242707509033525,3.417648728228418,0.0006316457224604,0.1740190632540215,0.6754084843076451,-1.7590583547670773,-2.818337505471522,-0.24902933068536215
School_closures_3,-0.1234746324411482,0.1258599654811219,-0.9810477221183458,0.3265692086440683,0.1106478368611234,-1.1159245037580272,0.2644544520020009,-0.3701601647841472,0.1232108999018506,1.561766622661646,-9.230567115556967,7.227128958952613
School_closures_3_No,-0.1038815401399708,0.1293320833206886,-0.8032155477027981,0.4218501605736127,0.1149567599202315,-0.9036575162004756,0.3661770328676854,-0.3573724234485205,0.1496093431685788,0.4302513889826985,-0.7515886190852052,1.4951054452685424
School_closures_4,-0.0253164564765416,0.1563366628793973,-0.1619355051480885,0.8713566427418176,0.153913287981303,-0.1644851903860113,0.869349204323957,-0.3317363157201603,0.281103402767077,0.3202147351843638,-8.647839159586407,8.005059272819324
School_closures_4_No,0.1036029411925717,0.1608734271838119,0.6440028226302181,0.5195736036402747,0.1588759292775169,0.6520996708796777,0.5143368763793892,-0.2117089760876996,0.4189148584728431,-0.4290975017383809,-1.7544626296639885,1.035203787444463
School_closures_5,0.1463503077681641,0.1689168828472176,0.8664042652298729,0.3862685057617887,0.1688847929956834,0.8665688909711646,0.386178264766682,-0.1847267826123824,0.4774273981487106,-1.8511091822647798,-9.307316797641905,11.968975281891947
School_closures_5_No,-0.4816108967243876,0.173104420270328,-2.782198721282111,0.0053991969037145,0.1733895591019061,-2.777623400272509,0.0054758043210412,-0.8208955604542305,-0.1423262329945448,1.9947120247319141,0.06720357279160272,3.409912917988076
Transit_2,0.1211415567091912,0.088209706254848,1.3733359043187294,0.1696479456331037,0.094200306557798,1.2859996016558923,0.1984432007003993,-0.0517494675503109,0.2940325809686934,-1.53225675707813,-5.620851730895293,8.1111569049051
Transit_2_No,-0.0678551108422047,0.0906786250620218,-0.7483032610584202,0.4542772579682634,0.0965962516907996,-0.7024611168081967,0.4823916423745453,-0.2455852159637676,0.1098749942793581,0.28103891846517004,-0.5367885082466676,1.0349321109177987
