,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0597268912213129,0.0230919201641367,2.5864843978662617,0.009696055996595,0.0233568603073453,2.5571455424824276,0.0105535051702805,0.0144667276996049,0.1049870547430209,-1.8097513538478582,-18.52701066824217,11.68535236828805
Business_closures_2,-0.0401178392110121,0.1362035260286881,-0.2945433233686058,0.7683427635448077,0.1403996743555181,-0.285740258267454,0.7750770679818311,-0.3070767502272408,0.2268410718052164,1.21558836130537,-27.36928838802657,30.33189490125941
Business_closures_2_No,0.0098236154844831,0.1411917555877629,0.0695764100643744,0.944530813469763,0.1455829462840063,0.0674777900518581,0.9462013426903976,-0.2669122254675322,0.2865594564364984,-0.03326911639171248,-1.033393519503864,0.9746787261049277
Business_closures_3,0.1918277345688162,0.1340140335169803,1.4314003506544013,0.152315507969706,0.1347925453726342,1.4231331119870776,0.1546975711516702,-0.0708397711244651,0.4544952402620976,-5.812465628842276,-60.233416106344855,42.98995159176493
Business_closures_3_No,-0.4272889395778699,0.1390390034951903,-3.07315881757345,0.0021180573169192,0.1416456567213068,-3.016604599593032,0.0025562300750023,-0.6998053864284429,-0.1547724927272968,1.4470767393289874,0.11527238155552122,2.381269677456948
Healthcare_restrictions_2,-0.2149906802256973,0.1553932702663091,-1.3835263255432595,0.1665035410328545,0.1456631242024154,-1.4759444533603676,0.1399588045059079,-0.5195614899476633,0.0895801294962685,6.514313178655593,-44.98485245979586,68.87511674424864
Healthcare_restrictions_2_No,0.0607257039174949,0.1608080196838621,0.3776285787044555,0.7057065313152877,0.1513955694763366,0.4011062155090772,0.6883419249001657,-0.2544580146628747,0.3759094224978646,-0.20565651361160867,-1.320174447281741,0.9664549924092705
Healthcare_restrictions_3,-0.1855243184523174,0.1559923972981996,-1.1893164132714988,0.2343151789450654,0.1469949489256521,-1.2621135611003405,0.2069079261966684,-0.4912694171567888,0.1202207802521539,5.621469318513146,-42.0545905633611,63.706673364103025
Healthcare_restrictions_3_No,-0.212786669498537,0.1616698021787345,-1.3161806758648105,0.1881134080269979,0.1535208918576623,-1.3860437294477377,0.1657335510108526,-0.5296594817688569,0.1040861427717826,0.7206333030169675,-0.5593523015374374,1.8066406828521981
Mask_mandates_2,-0.1076730426982158,0.1694590661054968,-0.6353926359489311,0.525172369717573,0.1845514176952886,-0.5834311328672311,0.5596031047442938,-0.4398128122649897,0.224466726868558,3.2625410566569064,-34.45839788379944,47.72909903728904
Mask_mandates_2_No,0.1137178173084846,0.1755886379265707,0.6476376754858147,0.5172193233778992,0.1901995205848961,0.5978869818324614,0.5499153467860447,-0.230435913027594,0.4578715476445633,-0.38512208726241076,-1.5866530371913175,0.92714836690644
Mask_mandates_3,0.0864177548874094,0.1426049086811459,0.6059942514365562,0.5445185705110334,0.1349751430056337,0.6402494041721628,0.5220104685575513,-0.1930878661276365,0.3659233759024555,-2.6184963875731366,-38.72130664312032,30.38042766926911
Mask_mandates_3_No,-0.025665866630787,0.1475687894187985,-0.1739247623557286,0.8619245916674714,0.1410562509427864,-0.1819548333323943,0.8556181718909444,-0.3149006938916321,0.263568960630058,0.08692122626161114,-0.966834971503712,1.121265053942556
Mask_mandates_4,0.0994469346380785,0.1710927710748635,0.5812456833407907,0.5610748825259622,0.1861230570397329,0.5343074427197321,0.5931288437218134,-0.2358948966686539,0.434788765944811,-3.013286325759077,-43.040413092248016,37.187237198318805
Mask_mandates_4_No,-0.0534478695520798,0.1773344531180173,-0.3013958574451962,0.7631126528240573,0.1924962405097665,-0.2776566929854822,0.7812759077981473,-0.4010233976633938,0.2941276585592342,0.18100905881606502,-1.1016199492501746,1.4248568726234772
Number_of_infections,-0.0330028161572156,0.0501322631750923,-0.6583149067487692,0.5103358012436088,0.0540357954773431,-0.6107584031228619,0.5413595353096134,-0.1312620519803966,0.0652564196659652,1.0,-10.322727333263778,14.02166988622008
Number_of_infections_No,-0.2952773187246481,0.0520174925168479,-5.676500431638659,1.3747820881704342e-08,0.0568848667363388,-5.190788616825939,2.09405252471484e-07,-0.3972316040576701,-0.1933230333916261,1.0,0.32758305712343594,1.4033122739685129
SIGMA_PANEL_ASC2,0.3758000373340051,0.0392077910806107,9.584830641475444,0.0,0.0472247690472038,7.957689257482062,1.7763568394002505e-15,0.2989527668160081,0.4526473078520021,-11.386908182132261,-116.74332022984512,73.84705471343634
School_closures_2,-0.0787237571090594,0.1514814472163894,-0.5196924016483914,0.6032779836824889,0.1517093410982616,-0.5189117330492546,0.6038222953718324,-0.3756273936531827,0.2181798794350638,2.385364834747521,-31.04003789288378,38.475476643091305
School_closures_2_No,0.2184309122052369,0.1572430591164167,1.389129119165247,0.1647934905183696,0.1578435678882112,1.3838442397598052,0.1664061535433787,-0.0897654836629399,0.5266273080734138,-0.7397483597747243,-1.7964754292360021,0.5074487088157222
School_closures_3,0.052478524383289,0.155348605940429,0.3378113634531924,0.7355053459957928,0.1296017011082831,0.4049215707395914,0.685535162032568,-0.2520047432599519,0.35696179202653,-1.59012261660632,-36.15986707940407,31.490466862652813
School_closures_3_No,-0.1795157630270933,0.161086337669949,-1.1144071286473995,0.2651045664960287,0.1371521281318753,-1.3088806238171118,0.1905747910014437,-0.4952449848601935,0.1362134588060067,0.6079564925692627,-0.6436653700999249,1.688166103698407
School_closures_4,-0.1320424200982522,0.2014599871993353,-0.6554275215336054,0.5121925368149505,0.2004115281903211,-0.6588564105596657,0.5099879791201447,-0.5269039950089495,0.262819154812445,4.000944024571764,-42.44173053952877,56.64513377291064
School_closures_4_No,0.1618720896628659,0.2087282835261786,0.7755158377593043,0.4380349105771097,0.2078583975592598,0.7787613662167134,0.4361202995942275,-0.247235346048444,0.5709795253741761,-0.5482036018276596,-1.9681460478093964,1.0076480834906514
School_closures_5,-0.0649923018607908,0.2072864581586735,-0.3135385805619804,0.7538715141689201,0.2041895226408239,-0.3182940095076007,0.7502619279401028,-0.471273759851791,0.3412891561302092,1.9692956368082897,-41.877675264203035,47.32264393090822
School_closures_5_No,-0.2634640330694754,0.2142472832293661,-1.2297193649238458,0.2188022126412483,0.2115683666215434,-1.2452902921010105,0.2130250628320684,-0.683388708199033,0.1564606420600821,0.8922596364916223,-0.7902631937425696,2.3271403484584052
Transit_2,-0.1395221025972432,0.112459640200588,-1.2406415523683465,0.2147381946258308,0.1167917558506902,-1.194622870261597,0.2322344095918849,-0.3599429973903958,0.0808987921959093,4.227581729165215,-30.59233958223099,45.916220523982055
Transit_2_No,0.14675971378747,0.1164153293656979,1.260656260538083,0.2074327191585019,0.1208591787443882,1.2143034175158531,0.22463188110537,-0.0814143317692978,0.3749337593442379,-0.4970233217415738,-1.2719656797165784,0.4127698737101736
